RespondentID,Department,Q1a_TechSkillConfidence,Q1b_RoleUnderstanding,Q1c_ComfortIndependent,Q2a_TrainingProvided,Q2b_TrainingRelevant,Q2c_NeedsMoreTraining,Q3a_DisplacementConcern,Q3b_AIWillHelpMe,Q3c_ManagerSupport,Q4a_CurrentlyUsingAI,Q4b_UsageFrequency,Q4c_ToolUsefulness,Q5a_PreferredAITool,Q5b_EstHoursSavedPerWeek
1,Customer Service,3,2,1,Somewhat,No,Yes,5,2,Yes,No,Never,1,"Customer Personalization AI",10+ hrs/week
2,HR,4,2,2,No,Somewhat,Yes,4,2,Yes,Yes,Rarely,2,"Writing & Content AI",3-5 hrs/week
3,Warehouse & Logistics,1,2,1,Somewhat,No,Yes,4,1,No,No,Never,1,"Inventory & Demand Forecasting AI",3-5 hrs/week
4,HR,3,3,2,Yes,Yes,No,3,2,Somewhat,No,Never,1,"Inventory & Demand Forecasting AI",3-5 hrs/week
5,Finance,4,3,3,Yes,No,Yes,3,3,Yes,Yes,Weekly,2,"Inventory & Demand Forecasting AI",3-5 hrs/week
6,IT,3,3,3,No,Somewhat,Yes,2,3,Somewhat,Yes,Weekly,5,"Scheduling & Workforce Management AI",1-2 hrs/week
7,Finance,4,2,2,Yes,No,No,4,2,Somewhat,Yes,Weekly,4,"Writing & Content AI",6-10 hrs/week
8,Marketing,2,2,3,Somewhat,No,Yes,3,4,Somewhat,Yes,Daily,3,"Inventory & Demand Forecasting AI",3-5 hrs/week
9,Store Operations,1,1,2,Somewhat,No,Yes,4,1,No,No,Never,1,"Inventory & Demand Forecasting AI",1-2 hrs/week
10,Marketing,3,2,2,No,Somewhat,No,4,3,Yes,Yes,Weekly,2,"Inventory & Demand Forecasting AI",6-10 hrs/week
11,HR,4,2,3,Yes,No,Yes,3,3,Yes,Yes,Rarely,4,"Customer Service Chatbot AI",10+ hrs/week
12,Customer Service,2,1,3,No,No,No,4,1,Yes,Yes,Rarely,1,"Writing & Content AI",3-5 hrs/week
13,HR,3,2,3,Yes,Yes,Yes,4,2,Somewhat,No,Never,1,"Scheduling & Workforce Management AI",6-10 hrs/week
14,HR,2,2,2,No,No,Yes,4,3,Somewhat,No,Never,1,"Scheduling & Workforce Management AI",3-5 hrs/week
15,Marketing,4,3,2,Somewhat,Yes,Yes,3,2,Somewhat,Yes,Daily,4,"Writing & Content AI",1-2 hrs/week
16,IT,3,4,4,Somewhat,Yes,No,1,5,Somewhat,Yes,Daily,3,"Customer Personalization AI",6-10 hrs/week
17,Finance,3,2,3,Somewhat,Somewhat,Yes,5,2,Somewhat,No,Never,1,"Writing & Content AI",6-10 hrs/week
18,HR,3,3,2,Somewhat,Yes,Yes,2,2,Yes,Yes,Rarely,2,"Writing & Content AI",1-2 hrs/week
19,Finance,4,2,2,Yes,Somewhat,Yes,4,3,Somewhat,No,Never,1,"Writing & Content AI",6-10 hrs/week
20,Finance,4,3,3,Yes,Somewhat,Yes,3,2,Somewhat,No,Never,1,"Scheduling & Workforce Management AI",10+ hrs/week
21,HR,3,3,2,Yes,Yes,No,2,2,No,Yes,Daily,2,"Scheduling & Workforce Management AI",1-2 hrs/week
22,Finance,2,3,3,No,No,Yes,3,3,Yes,No,Never,1,"Writing & Content AI",3-5 hrs/week
23,Warehouse & Logistics,1,1,1,No,No,Yes,4,1,No,No,Never,1,"Inventory & Demand Forecasting AI",6-10 hrs/week
24,IT,4,5,5,Somewhat,Somewhat,Yes,1,4,Yes,Yes,Daily,3,"Customer Personalization AI",6-10 hrs/week
25,Store Operations,2,1,1,Yes,No,Yes,5,1,No,No,Never,1,"Writing & Content AI",6-10 hrs/week
26,Finance,2,2,3,Somewhat,No,No,5,3,Somewhat,No,Never,1,"Customer Service Chatbot AI",1-2 hrs/week
27,Store Operations,1,2,1,Yes,Somewhat,No,3,2,No,Yes,Weekly,3,"Scheduling & Workforce Management AI",1-2 hrs/week
28,Marketing,3,2,3,Somewhat,Yes,Yes,4,3,Yes,Yes,Weekly,3,"Customer Personalization AI",1-2 hrs/week
29,Customer Service,2,3,1,Somewhat,No,Yes,5,1,No,Yes,Weekly,2,"Inventory & Demand Forecasting AI",10+ hrs/week
30,Finance,4,3,2,Somewhat,No,Yes,5,2,No,Yes,Daily,3,"Inventory & Demand Forecasting AI",3-5 hrs/week
31,HR,4,2,3,No,Somewhat,Yes,2,2,No,Yes,Rarely,4,"Scheduling & Workforce Management AI",3-5 hrs/week
32,HR,2,3,3,Somewhat,Somewhat,No,3,2,Somewhat,Yes,Rarely,2,"Customer Personalization AI",3-5 hrs/week
33,Customer Service,1,1,2,Somewhat,Yes,Yes,4,1,Yes,No,Never,1,"Customer Service Chatbot AI",10+ hrs/week
34,Store Operations,2,2,1,No,No,Yes,5,3,No,No,Never,1,"Scheduling & Workforce Management AI",6-10 hrs/week
35,Store Operations,1,1,1,Somewhat,No,Yes,4,1,Somewhat,No,Never,1,"Inventory & Demand Forecasting AI",1-2 hrs/week
36,Finance,3,3,2,Yes,Somewhat,Yes,3,2,No,No,Never,1,"Customer Personalization AI",1-2 hrs/week
37,Customer Service,2,1,3,Somewhat,Yes,Yes,5,1,Somewhat,No,Never,1,"Writing & Content AI",1-2 hrs/week
38,HR,2,2,3,No,Somewhat,Yes,2,2,No,Yes,Daily,2,"Scheduling & Workforce Management AI",3-5 hrs/week
39,Customer Service,2,3,3,No,Somewhat,Yes,3,3,Yes,No,Never,1,"Customer Service Chatbot AI",6-10 hrs/week
40,IT,3,5,3,Yes,Yes,Yes,2,5,No,Yes,Weekly,5,"Customer Personalization AI",3-5 hrs/week
41,Store Operations,3,2,1,Somewhat,No,Yes,4,3,No,No,Never,1,"Writing & Content AI",1-2 hrs/week
42,Warehouse & Logistics,1,2,1,No,No,Yes,5,1,No,No,Never,1,"Inventory & Demand Forecasting AI",1-2 hrs/week
43,IT,3,3,3,Yes,Yes,No,1,3,Yes,No,Never,1,"Scheduling & Workforce Management AI",1-2 hrs/week
