RespondentID,Department,Q1_AIReadiness,Q2_TrainingAdequacy,Q3_ChangeReadiness,Q4_DataQualityPerception,Q5_StakeholderEngagement
1,IT,5,5,5,4,4
2,IT,4,4,5,5,4
3,IT,4,5,5,4,5
4,IT,5,4,5,5,5
5,IT,5,4,4,5,4
6,IT,4,4,5,4,4
7,IT,4,4,4,4,5
8,IT,4,4,5,5,5
9,IT,5,4,4,5,5
10,IT,4,5,5,4,4
11,IT,4,4,4,4,5
12,IT,5,4,4,5,4
13,Marketing,4,3,4,5,4
14,Marketing,3,3,3,5,4
15,Marketing,4,4,3,5,3
16,Marketing,3,4,3,5,3
17,Marketing,3,3,4,4,3
18,Marketing,3,4,4,5,4
19,Marketing,3,4,4,5,4
20,Marketing,4,4,4,4,4
21,Marketing,4,3,4,5,4
22,Marketing,3,4,3,4,3
23,Marketing,3,3,3,5,4
24,Marketing,4,3,3,5,3
25,Marketing,3,4,3,4,4
26,Marketing,4,4,4,5,3
27,Finance,2,3,2,4,2
28,Finance,3,2,3,4,2
29,Finance,3,2,3,5,2
30,Finance,3,2,2,5,3
31,Finance,3,2,2,5,3
32,Finance,3,2,3,4,3
33,Finance,2,3,3,4,2
34,Finance,2,3,3,4,2
35,Finance,3,2,2,4,2
36,Finance,2,3,2,4,2
37,Finance,3,2,3,4,2
38,Finance,3,2,2,4,3
39,Finance,3,3,3,4,2
40,Warehouse & Logistics,2,1,2,4,1
41,Warehouse & Logistics,1,1,2,5,2
42,Warehouse & Logistics,2,1,2,5,2
43,Warehouse & Logistics,1,2,2,5,2
44,Warehouse & Logistics,2,1,3,5,2
45,Warehouse & Logistics,1,1,3,5,1
46,Warehouse & Logistics,2,1,3,5,1
47,Warehouse & Logistics,2,1,3,4,2
48,Warehouse & Logistics,2,1,2,5,2
49,Warehouse & Logistics,2,2,3,4,2
50,Warehouse & Logistics,1,2,3,4,1
51,Warehouse & Logistics,2,2,3,4,2
52,Warehouse & Logistics,1,2,2,5,1
53,Warehouse & Logistics,1,2,2,4,2
54,Warehouse & Logistics,2,1,3,5,2
55,Warehouse & Logistics,1,2,3,4,1
56,Warehouse & Logistics,2,1,3,4,1
57,Warehouse & Logistics,2,2,3,5,2
58,Customer Service,2,2,2,2,3
59,Customer Service,2,2,2,2,2
60,Customer Service,1,2,2,1,2
61,Customer Service,1,2,3,2,2
62,Customer Service,1,1,3,1,3
63,Customer Service,1,1,3,1,2
64,Customer Service,2,1,3,1,3
65,Customer Service,1,1,3,2,2
66,Customer Service,2,1,3,2,3
67,Customer Service,2,2,2,1,3
68,Customer Service,1,1,3,1,2
69,Customer Service,1,1,3,2,3
70,Customer Service,1,1,2,1,2
71,Customer Service,2,2,2,1,2
72,Customer Service,2,2,2,1,3
73,Customer Service,2,1,2,2,2
74,Store Operations,1,2,1,1,1
75,Store Operations,1,2,1,1,2
76,Store Operations,2,2,2,2,1
77,Store Operations,2,2,2,2,1
78,Store Operations,1,2,2,2,1
79,Store Operations,1,1,2,1,2
80,Store Operations,2,1,2,1,2
81,Store Operations,1,2,1,2,2
82,Store Operations,1,2,1,1,2
83,Store Operations,2,2,2,1,1
84,Store Operations,1,1,2,1,1
85,Store Operations,1,2,1,1,2
86,Store Operations,1,1,2,1,1
87,Store Operations,2,1,1,2,1
88,HR,2,2,3,3,2
89,HR,2,2,3,2,2
90,HR,3,3,3,3,3
91,HR,3,2,4,3,2
92,HR,2,2,4,2,3
93,HR,2,2,4,2,3
94,HR,3,3,4,2,2
95,HR,2,3,3,3,2
96,HR,3,3,4,3,3
97,HR,3,2,3,3,2
98,HR,2,2,3,3,3
99,HR,2,3,3,3,3
100,HR,2,3,4,3,3
